species,unit,individual,leaf.age,replicate,upper.count,lower.count,years.since.fire
sabeto,30a,2,new,1,62,80,13
sabeto,30a,2,new,2,70,73,13
sabeto,30a,2,old,1,72,71,13
sabeto,30a,2,old,2,80,91,13
sabeto,30a,3,new,1,70,75,13
sabeto,30a,3,new,2,81,69,13
sabeto,30a,3,old,1,75,81,13
sabeto,30a,3,old,2,76,74,13
sabeto,30a,4,new,1,68,76,13
sabeto,30a,4,new,2,82,79,13
sabeto,30a,4,old,1,78,85,13
sabeto,30a,4,old,2,73,65,13
sabeto,30a,5,new,1,71,78,13
sabeto,30a,5,new,2,75,77,13
sabeto,30a,5,old,1,72,86,13
sabeto,30a,5,old,2,69,71,13
sabeto,30a,6,new,1,83,94,13
sabeto,30a,6,new,2,75,79,13
sabeto,30a,6,old,1,76,90,13
sabeto,30a,6,old,2,74,82,13
sabeto,30a,7,new,1,80,78,13
sabeto,30a,7,new,2,71,68,13
sabeto,30a,7,old,1,62,67,13
sabeto,30a,7,old,2,61,67,13
sabeto,30a,8,new,1,69,77,13
sabeto,30a,8,new,2,65,72,13
sabeto,30a,8,old,1,68,72,13
sabeto,30a,8,old,2,78,75,13
sabeto,30a,9,new,1,61,88,13
sabeto,30a,9,new,2,72,86,13
sabeto,30a,9,old,1,73,89,13
sabeto,30a,9,old,2,69,87,13
sabeto,30a,10,new,1,89,81,13
sabeto,30a,10,new,2,62,85,13
sabeto,30a,10,old,1,79,82,13
sabeto,30a,10,old,2,70,77,13
sabeto,30bc,1,new,1,72,66,50
sabeto,30bc,1,new,2,84,65,50
sabeto,30bc,1,old,1,72,69,50
sabeto,30bc,1,old,2,66,64,50
sabeto,30bc,2,new,1,74,80,50
sabeto,30bc,2,new,2,80,82,50
sabeto,30bc,2,old,1,76,82,50
sabeto,30bc,2,old,2,63,76,50
sabeto,30bc,3,new,1,54,63,50
sabeto,30bc,3,new,2,72,79,50
sabeto,30bc,3,old,1,79,84,50
sabeto,30bc,3,old,2,91,97,50
sabeto,30bc,4,new,1,68,87,50
sabeto,30bc,4,new,2,73,100,50
sabeto,30bc,4,old,1,72,80,50
sabeto,30bc,4,old,2,65,74,50
sabeto,30bc,5,new,1,80,89,50
sabeto,30bc,5,new,2,80,83,50
sabeto,30bc,5,old,1,82,85,50
sabeto,30bc,5,old,2,73,84,50
sabeto,30bc,6,new,1,73,82,50
sabeto,30bc,6,new,2,65,79,50
sabeto,30bc,6,old,1,74,83,50
sabeto,30bc,6,old,2,68,79,50
sabeto,30bc,7,new,1,72,60,50
sabeto,30bc,7,new,2,64,76,50
sabeto,30bc,7,old,1,68,69,50
sabeto,30bc,7,old,2,61,69,50
sabeto,30bc,8,new,1,81,96,50
sabeto,30bc,8,new,2,74,93,50
sabeto,30bc,8,old,1,82,89,50
sabeto,30bc,8,old,2,80,99,50
sabeto,30bc,9,new,1,71,83,50
sabeto,30bc,9,new,2,70,77,50
sabeto,30bc,9,old,1,67,89,50
sabeto,30bc,9,old,2,65,74,50
sabeto,30bc,10,new,1,78,77,50
sabeto,30bc,10,new,2,79,90,50
sabeto,30bc,10,old,1,79,83,50
sabeto,30bc,10,old,2,76,79,50
sabeto,60d,1,new,1,80,62,0.25
sabeto,60d,1,new,2,69,71,0.25
sabeto,60d,1,old,1,60,62,0.25
sabeto,60d,1,old,2,65,70,0.25
sabeto,60d,2,new,1,74,78,0.25
sabeto,60d,2,new,2,66,67,0.25
sabeto,60d,2,old,1,82,95,0.25
sabeto,60d,2,old,2,67,83,0.25
sabeto,60d,3,new,1,92,101,0.25
sabeto,60d,3,new,2,83,78,0.25
sabeto,60d,3,old,1,66,65,0.25
sabeto,60d,3,old,2,72,73,0.25
sabeto,60d,4,new,1,78,74,0.25
sabeto,60d,4,new,2,74,80,0.25
sabeto,60d,4,old,1,83,82,0.25
sabeto,60d,4,old,2,75,69,0.25
sabeto,60d,5,new,1,94,85,0.25
sabeto,60d,5,new,2,76,81,0.25
sabeto,60d,5,old,1,85,89,0.25
sabeto,60d,5,old,2,81,86,0.25
sabeto,60d,6,new,1,74,87,0.25
sabeto,60d,6,new,2,75,78,0.25
sabeto,60d,6,old,1,94,87,0.25
sabeto,60d,6,old,2,95,94,0.25
sabeto,60d,7,new,1,67,77,0.25
sabeto,60d,7,new,2,67,81,0.25
sabeto,60d,7,old,1,60,68,0.25
sabeto,60d,7,old,2,63,68,0.25
sabeto,60d,8,new,1,81,72,0.25
sabeto,60d,8,new,2,71,74,0.25
sabeto,60d,8,old,1,76,63,0.25
sabeto,60d,8,old,2,69,81,0.25
sabeto,60d,9,new,1,50,58,0.25
sabeto,60d,9,new,2,51,61,0.25
sabeto,60d,9,old,1,67,75,0.25
sabeto,60d,9,old,2,54,77,0.25
sabeto,60d,10,new,1,77,91,0.25
sabeto,60d,10,new,2,88,103,0.25
sabeto,60d,10,old,1,76,78,0.25
sabeto,60d,10,old,2,80,75,0.25
sabeto,60a,1,new,1,115,111,1
sabeto,60a,1,new,2,98,119,1
sabeto,60a,1,old,1,69,88,1
sabeto,60a,1,old,2,59,83,1
sabeto,60a,2,new,1,87,87,1
sabeto,60a,2,new,2,91,85,1
sabeto,60a,2,old,1,82,78,1
sabeto,60a,2,old,2,77,83,1
sabeto,60a,3,new,1,86,99,1
sabeto,60a,3,new,2,102,96,1
sabeto,60a,3,old,1,83,93,1
sabeto,60a,3,old,2,85,90,1
sabeto,60a,4,new,1,95,99,1
sabeto,60a,4,new,2,97,98,1
sabeto,60a,4,old,1,96,92,1
sabeto,60a,4,old,2,85,97,1
sabeto,60a,5,new,1,87,90,1
sabeto,60a,5,new,2,97,101,1
sabeto,60a,5,old,1,75,79,1
sabeto,60a,5,old,2,69,78,1
sabeto,60a,6,new,1,85,95,1
sabeto,60a,6,new,2,89,88,1
sabeto,60a,6,old,1,87,84,1
sabeto,60a,6,old,2,74,89,1
sabeto,60a,7,new,1,86,96,1
sabeto,60a,7,new,2,98,120,1
sabeto,60a,7,old,1,93,86,1
sabeto,60a,7,old,2,77,81,1
sabeto,60a,8,new,1,80,82,1
sabeto,60a,8,new,2,90,75,1
sabeto,60a,8,old,1,75,70,1
sabeto,60a,8,old,2,73,74,1
sabeto,60a,9,new,1,71,81,1
sabeto,60a,9,new,2,76,87,1
sabeto,60a,9,old,1,44,75,1
sabeto,60a,9,old,2,74,71,1
sabeto,60a,10,new,1,92,87,1
sabeto,60a,10,new,2,95,93,1
sabeto,60a,10,old,1,70,70,1
sabeto,60a,10,old,2,77,77,1
sabeto,56b,1,new,1,56,55,1
sabeto,56b,1,new,2,60,65,1
sabeto,56b,1,old,1,52,78,1
sabeto,56b,1,old,2,58,65,1
sabeto,56b,2,new,1,77,89,1
sabeto,56b,2,new,2,91,97,1
sabeto,56b,2,old,1,77,75,1
sabeto,56b,2,old,2,90,87,1
sabeto,56b,3,new,1,66,56,1
sabeto,56b,3,new,2,66,73,1
sabeto,56b,3,old,1,52,60,1
sabeto,56b,3,old,2,53,69,1
sabeto,56b,4,new,1,78,75,1
sabeto,56b,4,new,2,87,84,1
sabeto,56b,4,old,1,70,70,1
sabeto,56b,4,old,2,59,69,1
sabeto,56b,5,new,1,79,82,1
sabeto,56b,5,new,2,87,88,1
sabeto,56b,5,old,1,71,98,1
sabeto,56b,5,old,2,75,94,1
sabeto,56b,6,new,1,77,87,1
sabeto,56b,6,new,2,81,85,1
sabeto,56b,6,old,1,61,65,1
sabeto,56b,6,old,2,50,60,1
sabeto,56b,7,new,1,98,100,1
sabeto,56b,7,new,2,105,102,1
sabeto,56b,7,old,1,70,79,1
sabeto,56b,7,old,2,71,73,1
sabeto,56b,8,new,1,73,72,1
sabeto,56b,8,new,2,77,75,1
sabeto,56b,8,old,1,64,65,1
sabeto,56b,8,old,2,61,75,1
sabeto,56b,9,new,1,83,76,1
sabeto,56b,9,new,2,68,91,1
sabeto,56b,9,old,1,62,61,1
sabeto,56b,9,old,2,63,90,1
sabeto,56b,10,new,1,82,82,1
sabeto,56b,10,new,2,92,77,1
sabeto,56b,10,old,1,91,95,1
sabeto,56b,10,old,2,93,97,1
sabeto,56c,1,new,1,90,82,30
sabeto,56c,1,new,2,87,97,30
sabeto,56c,1,old,1,75,84,30
sabeto,56c,1,old,2,80,87,30
sabeto,56c,2,new,1,70,81,30
sabeto,56c,2,new,2,76,89,30
sabeto,56c,2,old,1,55,75,30
sabeto,56c,2,old,2,65,80,30
sabeto,56c,3,new,1,60,62,30
sabeto,56c,3,new,2,63,64,30
sabeto,56c,3,old,1,67,61,30
sabeto,56c,3,old,2,72,76,30
sabeto,56c,4,new,1,82,83,30
sabeto,56c,4,new,2,69,84,30
sabeto,56c,4,old,1,66,77,30
sabeto,56c,4,old,2,66,70,30
sabeto,56c,5,new,1,79,75,30
sabeto,56c,5,new,2,94,86,30
sabeto,56c,5,old,1,69,75,30
sabeto,56c,5,old,2,85,101,30
sabeto,56c,6,new,1,95,79,30
sabeto,56c,6,new,2,96,84,30
sabeto,56c,6,old,1,81,83,30
sabeto,56c,6,old,2,80,85,30
sabeto,56c,7,new,1,72,85,30
sabeto,56c,7,new,2,90,89,30
sabeto,56c,7,old,1,80,85,30
